display_idx,frame_idx,tip_lt_z,tip_lt_residual_z,tip_lt_down_score,tip_rt_z,tip_rt_residual_z,tip_rt_down_score,tip_rb_z,tip_rb_residual_z,tip_rb_down_score,tip_lb_z,tip_lb_residual_z,tip_lb_down_score,consensus_down,consensus_down_smooth,active_points,is_click
32,32,780.88055,-1.440309333333289,7.401380709204633,788.33978,-0.42627403921551377,1.4792793655049514,783.84772,0.4347407450982246,0.0,776.54547,-0.2885065098037103,1.3131051559747597,10.193765230684345,9.581289667227631,3,0
33,33,780.47925,-1.669416666666507,8.578704606249328,787.10254,-0.21583886274493125,0.7490157658210309,782.46753,-0.006493098038959033,0.016670296388576766,776.005,-0.5600823921566871,2.549152452095433,11.89354312055437,11.85365497878663,3,0
34,34,780.28265,-1.7871856470587772,9.183889228361574,787.70166,0.7427509411764959,0.0,781.75403,-0.35434596078414415,0.9097432619874156,775.62561,-0.7426358431372364,3.3800240947721836,13.473656585121173,13.625316898516159,3,0
35,35,779.88037,-1.8601534509804196,9.558852081021017,788.95563,0.5309157254902175,0.0,781.14319,-0.7345001960783293,1.885746355996266,775.03638,-0.8929478823528143,4.064152552855653,15.508750989872937,15.043396648513239,3,0
36,36,779.97119,-1.8676123921567296,9.597181669016999,792.36688,0.5387843921569129,0.0,781.14056,-0.8689472941174472,2.23092410619322,774.9585,-0.9490898823528369,4.319676595335392,16.14778237054561,15.87253483151209,3,0
37,37,779.12311,-1.8393816470586444,9.45211110164667,786.1001,0.40770309803929194,0.0,780.59894,-0.8824046666666163,2.265474391382216,774.4223,-0.9323497254900985,4.243485641088836,15.961071134117724,15.415423933114763,3,0
38,38,779.05927,-1.6309709019607226,8.381141669831026,785.96655,0.008556862745081162,0.0,780.46027,-0.8049074901960012,2.0665091373091222,774.35724,-0.8106905490195686,3.68976748754081,14.137418294680959,15.322536616160821,3,0
39,39,779.05664,-1.463932705882371,7.522775169286681,785.88348,-0.9545089019607076,3.3123887287618703,780.38165,-0.709194509803865,1.8207768625463736,774.36035,-0.7059779215685467,3.2131796590888615,15.869120419683787,14.058954586380516,4,0
40,40,779.56946,-1.1473774901958222,5.896079005790827,785.80774,-0.7026840392156828,2.438492387653715,780.30737,-0.5351152156862327,1.3738479219015167,774.33032,-0.5409131372548472,2.4619057294307485,12.170325044776806,12.212937183595983,4,0
41,41,779.60138,-0.8434375294116307,4.334209405669327,786.32581,-0.4578490980392189,1.5888528527116106,780.42487,-0.3221815294116368,0.8271647145925427,774.19397,-0.406280235294048,1.8491391133538717,8.599366086327352,9.174545085626018,4,0
42,42,779.50189,-0.6409159607842412,3.2935029431432192,786.14624,-0.434433411764644,1.507594464096479,780.23651,-0.18924917647052553,0.48587590147699494,773.96442,-0.3223128235292734,1.466970817057206,6.7539441257738995,7.480318507395504,4,0
43,43,779.37921,-0.5962430980391673,3.0639405450567345,785.98096,-0.46127611764711673,1.6007454826275063,780.28766,-0.20254698039207142,0.5200165122238624,773.74078,-0.4181016078430275,1.9029427701771602,7.0876453100852626,7.500361902811079,4,0
44,44,778.87689,-0.6135838039215287,3.153049990528891,784.78998,-0.6693996470588672,2.322987078905464,779.80725,-0.39275999999983924,1.0083669721741035,773.48389,-0.47789643137241455,2.1750922309656158,8.659496272574074,8.617715499322939,4,0
45,45,778.60779,-0.5778692549017705,2.9695220718830893,784.42145,-0.8594969803921231,2.982673188702149,779.04163,-0.5725020392155784,1.4698343717475022,772.54803,-0.5897047450980608,2.6839752829767405,10.106004915309482,10.381414710363671,4,0
46,46,778.3327,-0.594116980392073,3.0530149711022245,784.05896,-1.0946541960784089,3.798728554059383,778.2832,-0.8691279999998187,2.2313880481513144,772.59314,-0.7240892549019691,3.295611369894538,12.37874294320746,12.270617071237714,4,0
