0.00000000,-54.82390594,773.40234375,849.90026855,0.94710177,0.27220517,0.17000750,0.05359284,0.38814652,-0.92003816
1.00000000,-55.35005188,773.90356445,850.11413574,0.94336563,0.28134233,0.17580594,0.03574945,0.44063312,-0.89697522
2.00000000,-54.02608490,772.96313477,849.45721436,0.96445447,0.22603431,0.13687955,0.05601338,0.33135122,-0.94184333
3.00000000,-53.98550415,772.82934570,849.32037354,0.96631557,0.22059686,0.13255644,0.05114679,0.34017897,-0.93896878
4.00000000,-54.05827332,772.76074219,849.21423340,0.96552795,0.22374769,0.13301396,0.04994516,0.34226221,-0.93827617
5.00000000,-54.14450073,772.64141846,849.10748291,0.96486461,0.22599515,0.13402402,0.04972488,0.34381026,-0.93772167
6.00000000,-54.22282028,772.49108887,848.99926758,0.96471053,0.22725214,0.13300392,0.04733498,0.34721583,-0.93658996
7.00000000,-54.26520157,772.38067627,848.91967773,0.96472174,0.22726634,0.13289824,0.04671741,0.34900671,-0.93595499
8.00000000,-54.30285263,772.29595947,848.82312012,0.96473545,0.22735661,0.13264424,0.04640123,0.34914118,-0.93592060
9.00000000,-54.30920029,772.22875977,848.72357178,0.96465921,0.22697343,0.13384926,0.04763727,0.34937400,-0.93577158
10.00000000,-54.30356216,772.17047119,848.62689209,0.96454465,0.22705105,0.13454163,0.04831663,0.34925234,-0.93578219
11.00000000,-54.19871140,772.01660156,848.47174072,0.96247715,0.23413555,0.13717976,0.04533602,0.35967696,-0.93197489
12.00000000,-54.21798325,771.98779297,848.37261963,0.96205723,0.23476712,0.13903323,0.04760329,0.35732591,-0.93276584
13.00000000,-54.23012161,771.90808105,848.27062988,0.96234906,0.23364797,0.13889897,0.04786719,0.35734314,-0.93274575
14.00000000,-54.24386597,771.84375000,848.15783691,0.96255159,0.23368877,0.13741918,0.04647381,0.35715568,-0.93288797
15.00000000,-54.24938583,771.59735107,847.73699951,0.94902050,0.27789176,0.14878255,0.04908329,0.33596843,-0.94059342
16.00000000,-54.44228363,771.60357666,847.69207764,0.94373059,0.29151699,0.15617430,0.05035434,0.34006578,-0.93905252
17.00000000,-54.66535950,771.57373047,847.59741211,0.93947023,0.30158740,0.16260612,0.04866256,0.35232437,-0.93461198
18.00000000,-54.11598587,771.22790527,847.42687988,0.95078367,0.26835629,0.15490413,0.06007501,0.33078772,-0.94179112
19.00000000,-54.14298630,771.20935059,847.27673340,0.94983774,0.27109623,0.15593286,0.06027991,0.33055043,-0.94186133
20.00000000,-54.13603210,771.14953613,847.03570557,0.94948161,0.27194625,0.15662029,0.06887363,0.30633169,-0.94942999
21.00000000,-54.19150543,771.02960205,846.78546143,0.95070297,0.26766247,0.15659079,0.06810794,0.31240785,-0.94750333
22.00000000,-55.18467712,771.79992676,846.89929199,0.94795746,0.28240526,0.14705065,0.04759539,0.33097106,-0.94243979
23.00000000,-55.12417221,771.74298096,846.83258057,0.94868392,0.27413315,0.15763840,0.05797388,0.33927846,-0.93889785
24.00000000,-55.17012024,771.78082275,846.62493896,0.94852328,0.27434653,0.15823266,0.05805971,0.34052271,-0.93844199
25.00000000,-55.06322479,771.82299805,846.38079834,0.94860953,0.27524114,0.15614823,0.05567519,0.34057909,-0.93856603
26.00000000,-54.63615417,771.36309814,845.83264160,0.95922059,0.24622789,0.13880807,0.04443400,0.35361958,-0.93433332
27.00000000,-54.89803696,771.54870605,845.44665527,0.95710254,0.25918099,0.12953752,0.02855781,0.36051023,-0.93231803
28.00000000,-54.92982101,771.60479736,845.16265869,0.95646566,0.26061589,0.13134986,0.02967108,0.36089933,-0.93213266
29.00000000,-54.77992630,771.48693848,844.96582031,0.95893615,0.24603747,0.14109224,0.04690595,0.35304064,-0.93443149
30.00000000,-54.72111130,771.35943604,844.56353760,0.95890516,0.24531625,0.14255103,0.05644964,0.32742536,-0.94318926
31.00000000,-54.89177322,771.62164307,844.40704346,0.95936811,0.24318622,0.14308512,0.05194785,0.34620923,-0.93671805
32.00000000,-55.30635071,771.87451172,844.21594238,0.95124209,0.26526976,0.15738621,0.04693235,0.37983650,-0.92386234
