1,704.33012250,-49.10084250,802.80146750,-0.06664764,-0.76382030,0.10656297,0.63307265,2,843.68481500,-47.41346250,790.11093000,0.04777142,-0.62811326,-0.09241482,0.77113625,0.08900000,0.34600000,0.46400000,0.00000000
1,704.6283125,-48.9156175,803.0095225,-0.07380566,-0.76082713,0.11726365,0.63399056,2,843.9754975,-47.5647675,790.0281975,0.04752542,-0.62708806,-0.09127501,0.77212095,0.09,0.352,0.468,0.0
1,704.870425,-49.11867,802.7736225,-0.06803448,-0.76629572,0.10952262,0.62941797,2,844.2482,-47.67945,789.87819,0.04771654,-0.62704136,-0.09143077,0.77212866,0.089,0.414,0.464,0.0
1,705.143845,-49.0929575,802.996215,-0.07223742,-0.76301102,0.11073255,0.63271972,2,844.428605,-47.731845,789.59784,0.04824266,-0.62197391,-0.0943062,0.77583983,0.089,0.414,0.464,0.0
1,705.39752,-49.1627775,802.983355,-0.07253431,-0.7626721,0.10806246,0.63355548,2,844.79405,-48.0389375,789.59169,0.05286906,-0.6140315,-0.10392914,0.78062085,0.09,0.352,0.468,0.0
1,705.74507,-49.295605,802.9338675,-0.07325032,-0.76411388,0.10777858,0.63178173,2,845.2939475,-48.6227875,789.7865325,0.06555796,-0.58342496,-0.12407244,0.79995218,0.089,0.347,0.467,0.0
1,706.1042175,-49.3379225,802.9096075,-0.07053912,-0.76458057,0.10837432,0.63142363,2,845.188875,-48.0606325,788.9573975,0.04859089,-0.61583588,-0.09234612,0.7809336,0.089,0.353,0.468,0.0
1,706.4224725,-49.56162,802.565825,-0.06035043,-0.76758184,0.09853256,0.63045006,2,845.5426925,-48.319605,788.947265,0.05049489,-0.61989164,-0.09891993,0.77678792,0.089,0.347,0.467,0.0
1,706.7482925,-49.5828425,802.5086825,-0.05977591,-0.76765727,0.09977134,0.63021808,2,845.8462525,-48.434835,788.82567,0.05102641,-0.62069242,-0.09898737,0.77610484,0.089,0.347,0.467,0.0
1,706.8634175,-50.0194425,802.0413225,-0.07095855,-0.74991487,0.12137015,0.64642235,2,846.2148,-48.521355,788.767135,0.05092373,-0.62255214,-0.10161264,0.77428062,0.089,0.345,0.464,0.0
1,707.1603875,-49.886345,802.106035,-0.07447191,-0.75117739,0.12730235,0.64341322,2,846.50322,-48.521045,788.6572575,0.05004808,-0.62244042,-0.10160165,0.77442896,0.116,0.347,0.466,0.0
1,707.6410225,-49.4539875,802.5004875,-0.06323448,-0.76468272,0.09796495,0.63377016,2,846.76471,-48.4632575,788.470995,0.0491682,-0.62058196,-0.09975118,0.77621532,0.089,0.345,0.463,0.0
1,707.94116,-49.296325,802.698045,-0.07266592,-0.76306087,0.10681225,0.63328423,2,846.975725,-48.3708425,788.24678,0.04806209,-0.6168881,-0.09477626,0.77984393,0.089,0.345,0.463,0.0
1,708.19716,-49.3657,802.59477,-0.07074081,-0.76048984,0.10130208,0.63748634,2,847.36717,-48.6391275,788.3094475,0.05190078,-0.60346003,-0.1041745,0.78885358,0.09,0.353,0.467,0.0
1,708.4442575,-49.46684,802.480395,-0.07145149,-0.75841392,0.10480273,0.63931166,2,847.6636975,-48.86801,788.297455,0.05226941,-0.60851769,-0.10976197,0.78417246,0.137,0.346,0.464,0.0
1,708.74365,-49.49467,802.4127975,-0.06970172,-0.75834591,0.10270782,0.63992519,2,847.89424,-49.0558225,788.20175,0.05251956,-0.60944506,-0.11056012,0.78332297,0.09,0.352,0.468,0.0
