1.00000000,-139.66014099,885.91943359,747.45739746,0.64739728,-0.56090891,-0.51600200,-0.59312785,0.05437523,-0.80327010,2.00000000,-255.31565857,934.97009277,803.84912109,0.85680676,-0.19710334,-0.47647923,-0.49619913,-0.56649756,-0.65792644,0.14500000,0.31999999,0.43799999,0.00000000
1.00000000,-139.70654297,885.96435547,747.45062256,0.64662695,-0.56213033,-0.51563853,-0.59223044,0.05608237,-0.80381459,2.00000000,-255.69006348,932.49523926,805.51049805,0.84612715,-0.14061826,-0.51409668,-0.49757075,-0.55412281,-0.66736168,0.14200000,0.31200001,0.43599999,0.00000000
1.00000000,-139.74659729,885.96820068,747.44085693,0.64834678,-0.56215715,-0.51344508,-0.59033942,0.05467033,-0.80530161,2.00000000,-256.01416016,930.17938232,807.25079346,0.83219624,-0.05320109,-0.55192304,-0.48264360,-0.55950260,-0.67380416,0.14200000,0.31200001,0.43599999,0.00000000
1.00000000,-139.78308105,886.03228760,747.50036621,0.65162045,-0.56443357,-0.50675988,-0.58512843,0.05111891,-0.80932790,2.00000000,-256.07080078,927.90240479,808.44543457,0.81428164,-0.01541528,-0.58026528,-0.48474738,-0.56797087,-0.66515350,0.14500000,0.30399999,0.44200000,0.00000000
1.00000000,-139.76419067,885.88598633,747.47131348,0.64830935,-0.55963618,-0.51623869,-0.59602672,0.04885954,-0.80147660,2.00000000,-255.67201233,925.39135742,809.30804443,0.81398082,0.03242457,-0.57998616,-0.46880937,-0.55289245,-0.68885976,0.14300001,0.29600000,0.43900001,0.00000000
1.00000000,-139.85821533,885.72924805,747.24847412,0.66596830,-0.55110192,-0.50276524,-0.58783543,0.02724856,-0.80852151,2.00000000,-255.20829773,923.77252197,809.72058105,0.79836714,0.06352411,-0.59881103,-0.46609700,-0.56442952,-0.68130249,0.14600000,0.29200000,0.44100001,0.00000000
1.00000000,-139.76106262,885.73175049,747.18994141,0.66493124,-0.55554694,-0.49923342,-0.58491570,0.02834886,-0.81059855,2.00000000,-255.16241455,922.52209473,809.87774658,0.78765905,0.10103834,-0.60777014,-0.45330393,-0.57304668,-0.68273944,0.14600000,0.29200000,0.44100001,0.00000000
1.00000000,-139.75524902,885.79956055,747.18768311,0.66752273,-0.55628288,-0.49493715,-0.58130264,0.02603912,-0.81327075,2.00000000,-255.05981445,921.60021973,810.22497559,0.78211826,0.10732031,-0.61381871,-0.45767266,-0.56956100,-0.68274164,0.14399999,0.28700000,0.43399999,0.00000000
1.00000000,-139.70817566,885.85076904,747.12634277,0.66877460,-0.55794030,-0.49136865,-0.57810742,0.02530921,-0.81556809,2.00000000,-254.60575867,920.17175293,810.71405029,0.76901656,0.13598913,-0.62459624,-0.45884347,-0.56287014,-0.68748802,0.19200000,0.28799999,0.43200001,0.00000000
1.00000000,-139.66329956,885.94268799,747.09991455,0.67051780,-0.55789709,-0.48903659,-0.57541680,0.02500361,-0.81747806,2.00000000,-254.17137146,918.61260986,811.70928955,0.74932897,0.18194003,-0.63671339,-0.46130055,-0.54640973,-0.69902676,0.14399999,0.28299999,0.42199999,0.00000000
