frame_idx,ch1,ch2,ch3,ch4,back_lt_id,back_lt_x,back_lt_y,back_lt_z,back_rt_id,back_rt_x,back_rt_y,back_rt_z,back_rb_id,back_rb_x,back_rb_y,back_rb_z,back_lb_id,back_lb_x,back_lb_y,back_lb_z,tip_lt_id,tip_lt_x,tip_lt_y,tip_lt_z,tip_rt_id,tip_rt_x,tip_rt_y,tip_rt_z,tip_rb_id,tip_rb_x,tip_rb_y,tip_rb_z,tip_lb_id,tip_lb_x,tip_lb_y,tip_lb_z,pip_id,pip_x,pip_y,pip_z,dip_id,dip_x,dip_y,dip_z
13,0.065,0.202,0.184,0.0,103780,-97.46903,850.08807,646.95471,103782,-101.46398,834.32782,629.7489,103785,-77.64805,828.0614,632.14874,103838,-73.56154,844.94586,649.87164,103816,-77.8586,799.36938,746.75958,103805,-84.33289,823.21393,743.84326,103804,-59.02578,828.10638,739.57672,103814,-53.65625,803.69281,742.63898,103778,-81.13152,870.84692,716.43506,103807,-76.63397,849.18066,731.08038
14,0.065,0.202,0.183,0.0,103780,-97.48624,850.08746,646.93744,103782,-101.47349,834.32892,629.72656,103785,-77.64097,828.08307,632.14978,103838,-73.58555,844.96832,649.83356,103816,-77.84287,799.49683,746.79492,103805,-84.36137,823.38519,743.89972,103804,-59.04531,828.31525,739.52734,103814,-53.70149,803.92603,742.68597,103778,-81.174,871.02649,716.38348,103807,-76.66209,849.27661,731.03827
15,0.065,0.202,0.182,0.0,103780,-97.47089,850.08771,646.92932,103782,-101.47673,834.3349,629.72162,103785,-77.61856,828.09033,632.1377,103838,-73.58979,844.97443,649.83472,103816,-77.85854,799.56989,746.78577,103805,-84.36327,823.44244,743.86023,103804,-59.06778,828.40289,739.5274,103814,-53.74442,804.01691,742.70776,103778,-81.22484,871.12122,716.35529,103807,-76.65202,849.36322,731.00391
16,0.121,0.203,0.183,0.0,103780,-97.46644,850.11407,646.92377,103782,-101.47776,834.36292,629.69574,103785,-77.60302,828.13391,632.14801,103838,-73.5904,844.98676,649.81531,103816,-77.83443,799.62921,746.77673,103805,-84.37235,823.47406,743.86688,103804,-59.04416,828.46265,739.50854,103814,-53.76603,804.07794,742.67761,103778,-81.06526,871.14349,716.16107,103807,-76.63599,849.40503,731.00201
17,0.065,0.203,0.183,0.0,103780,-97.45576,850.13177,646.91577,103782,-101.48219,834.36591,629.69366,103785,-77.55922,828.18005,632.14423,103838,-73.55621,845.01447,649.81366,103816,-77.8122,799.67004,746.77716,103805,-84.33073,823.53644,743.88666,103804,-59.02768,828.53094,739.49292,103814,-53.74809,804.13013,742.68542,103778,-81.24133,871.3194,716.35925,103807,-76.62607,849.45221,730.98389
18,0.065,0.203,0.183,0.0,103780,-97.45449,850.15137,646.93134,103782,-101.4879,834.36597,629.68903,103785,-77.5598,828.17664,632.16034,103838,-73.55537,844.99609,649.82849,103816,-78.0649,800.17139,747.02264,103805,-84.24754,823.67755,743.97815,103804,-59.02977,828.6496,739.5072,103814,-53.85531,804.60547,743.07416,103778,-81.09956,871.37585,716.14331,103807,-76.60307,849.54382,730.99823
19,0.065,0.203,0.183,0.0,103780,-97.42917,850.13861,646.90338,103782,-101.49645,834.0611,629.55499,103785,-77.51421,828.20734,632.1604,103838,-73.54366,845.02515,649.80396,103816,-78.02221,800.35388,747.13214,103805,-84.20949,823.79633,744.01874,103804,-59.05077,828.90942,739.6048,103814,-53.87043,804.78461,743.18079,103778,-81.0987,871.5553,716.13123,103807,-76.58142,849.65985,730.98798
20,0.166,0.203,0.183,0.0,103780,-97.38189,850.08417,646.84729,103782,-101.48338,834.04987,629.54633,103785,-77.49178,828.18549,632.13623,103838,-73.5174,845.02148,649.78583,103816,-78.00765,800.60132,747.29449,103805,-84.1501,824.00336,744.08057,103804,-59.07066,829.216,739.7146,103814,-53.82175,805.03625,743.37677,103778,-81.10664,871.66724,716.06873,103807,-76.58502,849.78247,731.01788
21,0.065,0.204,0.183,0.0,103780,-97.33868,850.06714,646.81226,103782,-101.46451,834.052,629.51953,103785,-77.46876,828.14435,632.11536,103838,-73.48939,844.99194,649.79199,103816,-77.79226,800.61273,747.38025,103805,-84.26746,824.68414,744.45349,103804,-59.19108,829.84808,740.24811,103814,-53.65196,804.95404,743.44482,103778,-81.07429,871.80536,716.01758,103807,-76.57468,849.95734,731.06042
22,0.065,0.204,0.183,0.0,103780,-97.30753,850.03046,646.74219,103782,-101.01894,834.34137,629.67816,103785,-77.00172,827.7652,632.11041,103838,-73.43359,844.97302,649.80017,103816,-77.8199,801.09918,747.81171,103805,-83.83511,824.86566,744.35754,103804,-59.09452,829.79071,740.1723,103814,-53.61827,805.25702,743.90717,103778,-81.03852,871.95636,715.94452,103807,-75.808,850.76544,730.55225
23,0.065,0.204,0.183,0.0,103780,-96.9705,849.95764,647.23706,103782,-101.38661,834.00946,629.5116,103785,-76.91318,827.78333,632.09692,103838,-73.34192,844.92932,649.80078,103816,-77.81054,801.4967,748.46594,103805,-83.75528,825.30792,744.58185,103804,-59.10528,830.0946,740.43597,103814,-53.50243,805.71704,744.57104,103778,-80.93783,872.13794,715.80396,103807,-75.79568,851.05798,730.56293
24,0.201,0.206,0.185,0.0,103780,-96.69104,849.70667,646.98499,103782,-100.94252,834.302,629.62689,103785,-76.76694,827.71033,632.07275,103838,-73.30611,844.91913,649.78522,103816,-77.80571,802.09521,749.30334,103805,-83.86223,826.40363,745.37115,103804,-59.4923,830.64734,741.1521,103814,-53.42097,806.17786,745.26593,103778,-80.76842,872.33002,715.6463,103807,-75.94594,851.125,730.51917
25,0.065,0.208,0.187,0.0,103780,-96.62542,849.61975,646.86914,103782,-100.90201,834.25562,629.62225,103785,-76.60536,827.61688,632.01221,103838,-72.59492,845.19708,650.03943,103816,-78.05931,803.11298,750.31628,103805,-83.81598,826.87244,745.48779,103804,-59.11102,831.02478,741.52612,103814,-53.71045,807.38177,746.62421,103778,-80.6151,872.72931,715.6048,103807,-75.87249,851.55029,730.52936
26,0.065,0.21,0.189,0.0,103780,-96.51971,849.50275,646.71344,103782,-101.22338,833.92969,629.4704,103785,-76.57003,827.46796,631.92755,103838,-72.43301,845.19287,649.98877,103816,-77.86049,803.99738,751.3587,103805,-83.80902,827.77216,746.30048,103804,-59.08694,831.75977,742.15466,103814,-53.62777,808.10101,747.73663,103778,-80.50535,872.9837,715.27997,103807,-75.80446,852.23322,730.68561
27,0.065,0.21,0.189,0.0,103780,-96.63853,849.63226,646.77771,103782,-101.27769,834.04364,629.74475,103785,-76.48743,827.44104,631.88641,103838,-72.25674,845.19666,649.91711,103816,-77.98921,805.23212,752.66217,103805,-83.73459,828.80402,746.93378,103804,-59.35189,832.87469,742.92389,103814,-53.46085,809.0498,749.18585,103778,-80.48518,873.19586,714.93939,103807,-75.76263,852.80176,730.82562
28,0.207,0.214,0.193,0.0,103780,-96.55487,849.59052,646.7149,103782,-101.11222,833.97626,629.73969,103785,-76.83393,827.79706,631.80042,103838,-72.19212,845.14044,649.73895,103816,-78.053,806.78528,754.32758,103805,-83.88718,830.30817,747.97699,103804,-59.17646,834.07721,743.93378,103814,-53.70919,810.56354,750.93915,103778,-80.40694,873.42139,714.56824,103807,-75.72268,853.54523,730.96606
